Training Log for rl_finetuned
==================================================
Epoch 68 | Loss: -0.01 | Avg Makespan: 90.8 | Best: 88.0 | Baseline: 125.0 | LR: 9.970954e-06
Epoch 69 | Loss: -0.69 | Avg Makespan: 98.0 | Best: 90.0 | Baseline: 125.4 | LR: 9.970107e-06
Epoch 70 | Loss: -0.16 | Avg Makespan: 98.2 | Best: 93.0 | Baseline: 125.2 | LR: 9.969247e-06
Epoch 71 | Loss: -0.19 | Avg Makespan: 92.0 | Best: 82.0 | Baseline: 125.2 | LR: 9.968376e-06
Epoch 72 | Loss: -0.66 | Avg Makespan: 99.8 | Best: 78.0 | Baseline: 125.5 | LR: 9.967492e-06
Epoch 73 | Loss: 0.60 | Avg Makespan: 95.0 | Best: 89.0 | Baseline: 124.8 | LR: 9.966597e-06
Epoch 74 | Loss: 0.05 | Avg Makespan: 93.8 | Best: 86.0 | Baseline: 124.4 | LR: 9.965689e-06
Epoch 75 | Loss: 0.40 | Avg Makespan: 89.8 | Best: 84.0 | Baseline: 123.6 | LR: 9.964769e-06
Epoch 76 | Loss: -0.10 | Avg Makespan: 98.2 | Best: 86.0 | Baseline: 123.3 | LR: 9.963837e-06
Epoch 77 | Loss: -0.12 | Avg Makespan: 91.8 | Best: 87.0 | Baseline: 123.1 | LR: 9.962893e-06
Epoch 78 | Loss: 0.20 | Avg Makespan: 89.8 | Best: 75.0 | Baseline: 122.6 | LR: 9.961936e-06
Epoch 79 | Loss: -0.34 | Avg Makespan: 98.8 | Best: 91.0 | Baseline: 122.6 | LR: 9.960968e-06
Epoch 80 | Loss: 0.22 | Avg Makespan: 95.2 | Best: 91.0 | Baseline: 122.2 | LR: 9.959987e-06
Epoch 81 | Loss: -0.22 | Avg Makespan: 91.0 | Best: 84.0 | Baseline: 122.1 | LR: 9.958994e-06
Epoch 82 | Loss: -0.16 | Avg Makespan: 97.8 | Best: 92.0 | Baseline: 122.0 | LR: 9.957990e-06
Epoch 83 | Loss: -0.33 | Avg Makespan: 92.5 | Best: 81.0 | Baseline: 122.0 | LR: 9.956973e-06
Epoch 84 | Loss: -0.27 | Avg Makespan: 96.5 | Best: 91.0 | Baseline: 122.0 | LR: 9.955944e-06
Epoch 85 | Loss: 0.02 | Avg Makespan: 88.8 | Best: 83.0 | Baseline: 121.7 | LR: 9.954903e-06
Epoch 86 | Loss: -0.20 | Avg Makespan: 97.5 | Best: 90.0 | Baseline: 121.5 | LR: 9.953849e-06
Epoch 87 | Loss: 0.19 | Avg Makespan: 96.0 | Best: 93.0 | Baseline: 121.1 | LR: 9.952784e-06
Epoch 88 | Loss: -0.57 | Avg Makespan: 102.2 | Best: 89.0 | Baseline: 121.2 | LR: 9.951707e-06
Epoch 89 | Loss: -0.02 | Avg Makespan: 96.0 | Best: 90.0 | Baseline: 121.0 | LR: 9.950617e-06
Epoch 90 | Loss: 0.94 | Avg Makespan: 88.8 | Best: 73.0 | Baseline: 120.2 | LR: 9.949515e-06
