Epoch,Total_Loss,Link_Loss,Prio_Loss
317,0.23830,0.21847,0.01983
318,0.23590,0.21624,0.01966
319,0.23716,0.21761,0.01955
320,0.23559,0.21608,0.01951
321,0.23637,0.21681,0.01956
322,0.23601,0.21634,0.01967
323,0.23868,0.21901,0.01967
324,0.23559,0.21619,0.01941
325,0.23643,0.21670,0.01974
326,0.23761,0.21795,0.01966
327,0.23609,0.21656,0.01953
328,0.23687,0.21728,0.01959
329,0.23536,0.21578,0.01958
330,0.23445,0.21482,0.01963
331,0.23396,0.21462,0.01934
332,0.23572,0.21624,0.01948
333,0.23540,0.21592,0.01949
334,0.23756,0.21794,0.01961
335,0.23430,0.21470,0.01960
336,0.23545,0.21592,0.01953
337,0.23433,0.21490,0.01944
338,0.23409,0.21457,0.01951
339,0.23753,0.21793,0.01960
340,0.23666,0.21698,0.01968
341,0.23663,0.21713,0.01950
342,0.23409,0.21451,0.01958
343,0.23636,0.21664,0.01972
344,0.23680,0.21711,0.01969
345,0.23869,0.21890,0.01979
346,0.23565,0.21570,0.01995
347,0.23679,0.21721,0.01958
348,0.23576,0.21616,0.01961
349,0.23737,0.21783,0.01954
350,0.23508,0.21552,0.01956
351,0.23889,0.21930,0.01960
352,0.23694,0.21751,0.01943
353,0.24001,0.22026,0.01974
354,0.23568,0.21622,0.01946
355,0.23760,0.21820,0.01940
356,0.23554,0.21612,0.01942
357,0.23687,0.21720,0.01968
358,0.23159,0.21211,0.01949
359,0.23409,0.21449,0.01960
360,0.23419,0.21460,0.01959
361,0.23459,0.21497,0.01962
362,0.23690,0.21736,0.01954
363,0.23299,0.21339,0.01960
364,0.23670,0.21720,0.01950
365,0.23376,0.21424,0.01952
366,0.23699,0.21741,0.01958
367,0.23730,0.21783,0.01947
368,0.23485,0.21548,0.01936
369,0.23494,0.21530,0.01964
370,0.23403,0.21457,0.01947
371,0.23488,0.21515,0.01973
372,0.23227,0.21261,0.01965
373,0.23632,0.21687,0.01945
374,0.23696,0.21741,0.01955
375,0.23513,0.21565,0.01949
376,0.23542,0.21600,0.01942
377,0.23529,0.21583,0.01947
378,0.23429,0.21482,0.01947
379,0.23562,0.21606,0.01956
380,0.23506,0.21551,0.01955
381,0.23623,0.21672,0.01952
382,0.23558,0.21613,0.01945
383,0.23273,0.21317,0.01956
384,0.23436,0.21486,0.01950
385,0.23254,0.21329,0.01925
386,0.23415,0.21475,0.01939
387,0.23050,0.21119,0.01931
388,0.23368,0.21417,0.01951
389,0.23329,0.21378,0.01950
390,0.23281,0.21335,0.01945
391,0.23371,0.21421,0.01950
392,0.23303,0.21358,0.01944
393,0.23580,0.21630,0.01950
394,0.23061,0.21128,0.01933
395,0.23387,0.21442,0.01944
396,0.23217,0.21244,0.01973
397,0.23222,0.21237,0.01985
398,0.23090,0.21153,0.01937
399,0.23234,0.21293,0.01941
400,0.23388,0.21443,0.01945
401,0.22921,0.21004,0.01917
402,0.23449,0.21499,0.01950
403,0.23636,0.21695,0.01941
404,0.23483,0.21532,0.01950
405,0.23215,0.21279,0.01936
406,0.23649,0.21711,0.01938
407,0.23531,0.21589,0.01942
408,0.22980,0.21046,0.01934
409,0.23475,0.21515,0.01960
