Training Log for rl_finetuned
==================================================
Epoch 79 | Loss: 0.65 | Avg Makespan: 129.5 | Best: 109.0 | Baseline: 168.5 | LR: 9.960968e-06
Epoch 80 | Loss: 0.81 | Avg Makespan: 140.8 | Best: 125.0 | Baseline: 168.3 | LR: 9.959987e-06
Epoch 81 | Loss: 0.77 | Avg Makespan: 138.8 | Best: 132.0 | Baseline: 168.4 | LR: 9.958994e-06
Epoch 82 | Loss: 1.31 | Avg Makespan: 140.8 | Best: 131.0 | Baseline: 169.2 | LR: 9.957990e-06
Epoch 83 | Loss: 0.91 | Avg Makespan: 133.2 | Best: 123.0 | Baseline: 169.2 | LR: 9.956973e-06
Epoch 84 | Loss: 1.09 | Avg Makespan: 146.5 | Best: 143.0 | Baseline: 169.7 | LR: 9.955944e-06
Epoch 85 | Loss: 0.98 | Avg Makespan: 142.8 | Best: 130.0 | Baseline: 170.1 | LR: 9.954903e-06
Epoch 86 | Loss: 0.73 | Avg Makespan: 145.2 | Best: 144.0 | Baseline: 170.6 | LR: 9.953849e-06
Epoch 87 | Loss: 0.82 | Avg Makespan: 144.0 | Best: 141.0 | Baseline: 170.6 | LR: 9.952784e-06
Epoch 88 | Loss: 0.92 | Avg Makespan: 142.5 | Best: 138.0 | Baseline: 171.2 | LR: 9.951707e-06
Epoch 89 | Loss: 0.91 | Avg Makespan: 140.2 | Best: 133.0 | Baseline: 171.5 | LR: 9.950617e-06
Epoch 90 | Loss: 0.85 | Avg Makespan: 140.0 | Best: 134.0 | Baseline: 171.7 | LR: 9.949515e-06
Epoch 91 | Loss: 1.13 | Avg Makespan: 146.8 | Best: 142.0 | Baseline: 172.6 | LR: 9.948402e-06
Epoch 92 | Loss: 0.71 | Avg Makespan: 139.2 | Best: 136.0 | Baseline: 172.8 | LR: 9.947276e-06
Epoch 93 | Loss: 0.94 | Avg Makespan: 144.5 | Best: 135.0 | Baseline: 173.1 | LR: 9.946138e-06
Epoch 94 | Loss: 0.50 | Avg Makespan: 130.8 | Best: 126.0 | Baseline: 172.9 | LR: 9.944988e-06
Epoch 95 | Loss: 0.97 | Avg Makespan: 146.5 | Best: 137.0 | Baseline: 173.2 | LR: 9.943826e-06
Epoch 96 | Loss: 0.61 | Avg Makespan: 138.2 | Best: 130.0 | Baseline: 173.2 | LR: 9.942652e-06
Epoch 97 | Loss: 0.50 | Avg Makespan: 129.8 | Best: 122.0 | Baseline: 173.1 | LR: 9.941466e-06
Epoch 98 | Loss: 0.94 | Avg Makespan: 135.0 | Best: 125.0 | Baseline: 173.3 | LR: 9.940268e-06
Epoch 99 | Loss: 1.22 | Avg Makespan: 150.5 | Best: 145.0 | Baseline: 174.0 | LR: 9.939057e-06
Epoch 100 | Loss: 1.09 | Avg Makespan: 154.2 | Best: 152.0 | Baseline: 174.3 | LR: 9.937835e-06
Epoch 101 | Loss: 0.83 | Avg Makespan: 153.2 | Best: 144.0 | Baseline: 174.6 | LR: 9.936600e-06
Epoch 102 | Loss: 0.33 | Avg Makespan: 138.0 | Best: 135.0 | Baseline: 174.5 | LR: 9.935354e-06
Epoch 103 | Loss: 0.95 | Avg Makespan: 150.2 | Best: 140.0 | Baseline: 174.8 | LR: 9.934095e-06
Epoch 104 | Loss: 0.61 | Avg Makespan: 135.2 | Best: 120.0 | Baseline: 174.7 | LR: 9.932825e-06
Epoch 105 | Loss: 0.60 | Avg Makespan: 132.5 | Best: 127.0 | Baseline: 174.6 | LR: 9.931542e-06
Epoch 106 | Loss: 1.31 | Avg Makespan: 151.5 | Best: 147.0 | Baseline: 175.2 | LR: 9.930247e-06
Epoch 107 | Loss: 0.38 | Avg Makespan: 142.8 | Best: 118.0 | Baseline: 174.9 | LR: 9.928941e-06
Epoch 108 | Loss: 0.66 | Avg Makespan: 143.8 | Best: 131.0 | Baseline: 175.2 | LR: 9.927622e-06
Epoch 109 | Loss: 0.11 | Avg Makespan: 141.0 | Best: 123.0 | Baseline: 175.0 | LR: 9.926291e-06
Epoch 110 | Loss: 0.89 | Avg Makespan: 147.2 | Best: 132.0 | Baseline: 175.5 | LR: 9.924948e-06
Epoch 111 | Loss: 0.55 | Avg Makespan: 150.2 | Best: 143.0 | Baseline: 175.5 | LR: 9.923593e-06
Epoch 112 | Loss: 0.71 | Avg Makespan: 143.8 | Best: 121.0 | Baseline: 175.7 | LR: 9.922227e-06
Epoch 113 | Loss: 0.85 | Avg Makespan: 148.0 | Best: 143.0 | Baseline: 175.9 | LR: 9.920848e-06
Epoch 114 | Loss: 0.69 | Avg Makespan: 139.8 | Best: 115.0 | Baseline: 176.3 | LR: 9.919457e-06
