Epoch,Total_Loss,Link_Loss,Prio_Loss
271,0.45488,0.43360,0.02128
272,0.45206,0.43098,0.02108
273,0.45523,0.43432,0.02091
274,0.46055,0.43964,0.02091
275,0.46020,0.43933,0.02087
276,0.45986,0.43891,0.02095
277,0.45777,0.43676,0.02101
278,0.46076,0.43972,0.02104
279,0.46035,0.43927,0.02109
280,0.45548,0.43457,0.02091
281,0.45187,0.43094,0.02093
282,0.45825,0.43712,0.02112
283,0.46080,0.43974,0.02105
284,0.45007,0.42904,0.02103
285,0.45495,0.43391,0.02104
286,0.45535,0.43388,0.02147
287,0.45389,0.43282,0.02107
288,0.44916,0.42828,0.02088
289,0.45800,0.43691,0.02108
290,0.45412,0.43308,0.02104
291,0.45199,0.43087,0.02112
292,0.45699,0.43591,0.02107
293,0.45188,0.43087,0.02101
294,0.45419,0.43334,0.02085
295,0.45074,0.42982,0.02092
296,0.45989,0.43888,0.02101
297,0.45609,0.43519,0.02090
298,0.45291,0.43194,0.02096
299,0.45624,0.43524,0.02100
300,0.44467,0.42376,0.02091
301,0.44955,0.42868,0.02087
302,0.45414,0.43294,0.02120
303,0.44729,0.42622,0.02107
304,0.45353,0.43253,0.02100
305,0.45104,0.42974,0.02130
306,0.45720,0.43616,0.02105
307,0.45353,0.43267,0.02086
308,0.45300,0.43210,0.02091
309,0.44987,0.42892,0.02095
310,0.44984,0.42893,0.02091
311,0.45851,0.43733,0.02119
312,0.45190,0.43096,0.02093
313,0.44563,0.42475,0.02088
314,0.44785,0.42702,0.02083
315,0.45098,0.42970,0.02127
316,0.45191,0.43106,0.02085
317,0.45402,0.43304,0.02098
318,0.44995,0.42895,0.02099
319,0.45191,0.43098,0.02093
320,0.44797,0.42709,0.02088
321,0.44858,0.42754,0.02104
322,0.44923,0.42833,0.02090
323,0.45541,0.43443,0.02098
324,0.44978,0.42883,0.02095
325,0.44869,0.42749,0.02120
326,0.45159,0.43049,0.02109
327,0.45180,0.43078,0.02102
328,0.45036,0.42913,0.02123
329,0.44578,0.42475,0.02103
330,0.44448,0.42335,0.02113
331,0.44486,0.42401,0.02085
332,0.44788,0.42706,0.02082
333,0.44852,0.42749,0.02103
334,0.45126,0.43019,0.02106
335,0.44261,0.42160,0.02101
336,0.44856,0.42764,0.02092
337,0.44547,0.42451,0.02095
338,0.44502,0.42412,0.02091
339,0.45131,0.43036,0.02095
340,0.44914,0.42809,0.02105
341,0.45023,0.42921,0.02102
342,0.44467,0.42378,0.02089
343,0.45002,0.42911,0.02090
344,0.45171,0.43079,0.02092
345,0.45483,0.43378,0.02105
346,0.44861,0.42770,0.02091
347,0.45021,0.42914,0.02108
348,0.44732,0.42626,0.02106
349,0.45003,0.42916,0.02087
350,0.44696,0.42603,0.02094
351,0.45356,0.43244,0.02112
352,0.44812,0.42707,0.02106
353,0.45432,0.43344,0.02089
354,0.44741,0.42652,0.02089
355,0.45104,0.43001,0.02103
356,0.44757,0.42665,0.02092
357,0.44920,0.42825,0.02094
358,0.43939,0.41856,0.02083
359,0.44491,0.42398,0.02093
360,0.44396,0.42307,0.02089
361,0.44383,0.42286,0.02098
362,0.44957,0.42867,0.02090
363,0.44038,0.41939,0.02099
364,0.44734,0.42655,0.02079
365,0.44420,0.42322,0.02098
366,0.44851,0.42768,0.02083
367,0.45106,0.43020,0.02086
368,0.44329,0.42244,0.02085
369,0.44505,0.42408,0.02097
370,0.44155,0.42077,0.02078
371,0.44483,0.42392,0.02091
372,0.43819,0.41727,0.02093
373,0.44596,0.42483,0.02114
374,0.44878,0.42799,0.02079
375,0.44507,0.42426,0.02081
376,0.44482,0.42390,0.02093
377,0.44289,0.42182,0.02107
378,0.44051,0.41966,0.02085
379,0.44857,0.42753,0.02104
380,0.44291,0.42182,0.02109
381,0.44801,0.42697,0.02103
382,0.44138,0.42025,0.02113
383,0.43776,0.41681,0.02095
384,0.44329,0.42239,0.02090
385,0.43724,0.41643,0.02081
386,0.44156,0.42058,0.02098
387,0.43431,0.41353,0.02078
388,0.44092,0.42004,0.02088
389,0.43849,0.41712,0.02138
390,0.43905,0.41816,0.02089
391,0.44203,0.42103,0.02099
392,0.44033,0.41937,0.02096
393,0.44524,0.42429,0.02095
394,0.43426,0.41295,0.02131
395,0.43978,0.41891,0.02087
396,0.43879,0.41794,0.02085
397,0.43898,0.41814,0.02084
398,0.43500,0.41411,0.02089
399,0.43899,0.41817,0.02082
400,0.43946,0.41865,0.02081
401,0.43143,0.41050,0.02093
402,0.44303,0.42211,0.02092
403,0.44570,0.42475,0.02096
404,0.44267,0.42171,0.02096
405,0.43881,0.41789,0.02092
